ISIN	Fullname	Index	TER	PEA?	AUM	Replication	Div. freq.	Last div	Quote	Ticker
US33734X1191	First Trust Consumer Staples AlphaDEX® Fund (USD)	StrataQuant Consumer Staples TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 46.37	FXG
US33734X2009	First Trust Dow Jones Global Select Dividend Index Fund (USD)	DJ Global Select Dividend TR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 24.01	FGD
US33733E3027	First Trust Dow Jones Internet Index Fund (USD)	DJ Internet Composite TR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 84.06	FDN
US33737J1824	First Trust Emerging Markets AlphaDEX® Fund (USD)	NASDAQ AlphaDEX(R) EM TR USD	0.80%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 21.44	FEM
US33734X1274	First Trust Energy AlphaDEX® Fund (USD)	StrataQuant Energy TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 16.68	FXN
US33737J1170	First Trust Europe AlphaDEX® Fund (USD)	NASDAQ AlphaDEX(R) Europe TR USD	0.80%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 30.13	FEP
US33734X1357	First Trust Financials AlphaDEX® Fund (USD)	StrataQuant Financials TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 27.00	FXO
US33734X1431	First Trust Health Care AlphaDEX® Fund (USD)	StrataQuant Health Care TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 59.51	FXH
US33734X1506	First Trust Industrials/Producer Durables AlphaDEX® Fund (USD)	StrataQuant Industrials TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 33.19	FXR
US3369201039	First Trust US Equity Opportunities ETF (USD)	IPOX-100 U.S. TR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 54.81	FPX
US33734X1928	First Trust Cloud Computing ETF (USD)	ISE Cloud Computing TR USD	0.60%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 35.74	SKYY
US33733E8075	First Trust Natural Gas ETF (USD)	ISE Revere Natural Gas PR USD	0.40%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 26.54	FCG
US33734K1097	First Trust Large Cap Core AlphaDEX® Fund (USD)	NASDAQ AlphaDEX(R) Large Cap Core USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 49.40	FEX
US33735J1016	First Trust Large Cap Value AlphaDEX® Fund (USD)	NASDAQ AlphaDEX(R) LargeCap Value USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 47.20	FTA
US33735K1088	First Trust Large Cap Growth AlphaDEX® Fund (USD)	NASDAQ AlphaDEX(R) LC Growth USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 50.16	FTC
US33734X1688	First Trust Materials AlphaDEX® Fund (USD)	StrataQuant Materials TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 36.68	FXZ
US33735B1089	First Trust Mid Cap Core AlphaDEX® Fund (USD)	NASDAQ AlphaDEX(R) Mid Cap Core USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 56.87	FNX
US3369171091	First Trust Morningstar Dividend Leaders Index Fund (USD)	Morningstar Dividend Leaders TR USD	0.30%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 27.81	FDL
US33734Y1091	First Trust Small Cap Core AlphaDEX® Fund (USD)	NASDAQ AlphaDEX(R) Small Cap Core USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 53.71	FYX
US33734X1761	First Trust Technology AlphaDEX® Fund (USD)	StrataQuant Technology TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 38.43	FXL
US33734H1068	First Trust Value Line® Dividend Index Fund (USD)	Value Line Dividend TR USD	0.50%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 28.16	FVD
US37950E4089	Global X China Consumer ETF (USD)	Solactive China Consumer TR USD	0.65%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 11.87	CHIQ
US18383Q8539	Guggenheim China Small Cap ETF (USD)	AlphaShares China Small Cap TR USD	0.55%	?	-	UNKNOWN	UNKNOWN	UNKNOWN	USD 22.98	HAO
